Fecha,Petróleo_(Mbd),Agua_(Mbd),Condensado_(Mbd)
01-01-1931,0.020694999999999998,0.0,0.0
01-01-1932,0.046463,0.0,0.0
01-01-1933,1.2711489999999999,0.0,0.0
01-01-1934,3.9877330000000004,0.0,0.0
01-01-1935,11.761926,0.03429,0.0
01-01-1936,22.982116999999995,0.061072,0.0
01-01-1937,37.786075000000004,0.084812,0.0
01-01-1938,29.34354,0.07709999999999999,0.0
01-01-1939,31.124365,0.064317,0.0
01-01-1940,40.30301,0.09455000000000001,0.0
01-01-1941,52.81139100000001,0.096172,0.0
01-01-1942,49.164320999999994,0.06107200000000001,0.0
01-01-1943,44.251989,0.061884,0.0
01-01-1944,48.29126200000001,0.3723159999999999,0.0
01-01-1945,45.375632,0.237387,0.0
01-01-1946,56.014410000000005,0.403563,0.0
01-01-1947,78.615657,0.43703999999999993,0.0
01-01-1948,87.63239000000003,0.5715799999999999,0.0
01-01-1949,91.95288999999998,0.6468360000000002,0.110983
01-01-1950,104.183423,1.2508210000000004,0.139707
01-01-1951,117.61980199999996,3.446001,0.234587
01-01-1952,126.184698,4.3790309999999995,0.238552
01-01-1953,110.90232600000003,2.7397769999999975,0.22561
01-01-1954,170.79847900000007,7.082314999999999,0.522413
01-01-1955,110.252689,8.082940999999998,0.42756600000000006
01-01-1956,155.71653299999983,8.656960999999994,0.7604810000000002
01-01-1957,107.71428499999999,7.651013999999999,0.8572139999999999
01-01-1958,125.820568,7.961202999999995,2.230312999999999
01-01-1959,130.34173899999976,11.092500999999993,2.6520849999999996
01-01-1960,133.69890999999996,13.895315000000013,2.6784729999999994
01-01-1961,273.57846900000027,11.219893000000008,19.122284999999998
01-01-1962,144.39749699999996,11.377062000000006,3.618425
01-01-1963,137.20593999999994,11.731296000000007,3.1543979999999996
01-01-1964,149.2421890000001,13.350268000000018,8.878229000000001
01-01-1965,158.65171400000003,16.76581500000003,2.902772999999997
01-01-1966,180.78094500000012,20.117636999999984,3.443572000000001
01-01-1967,195.62859100000017,27.920212,3.7057319999999994
01-01-1968,215.74838799999975,37.11506500000002,3.3483350000000014
01-01-1969,221.61315299999973,41.078021999999955,4.857774
01-01-1970,229.64332899999948,45.17430999999993,5.253877
01-01-1971,222.3910629999999,44.35675499999986,6.274711999999999
01-01-1972,250.21220399999973,51.118895999999765,5.348166999999999
01-01-1973,270.5083239999999,61.355911999999826,3.9561659999999965
01-01-1974,309.87129599999975,71.20874999999997,3.5932439999999994
01-01-1975,494.5324269999997,90.34452899999967,2.733438999999996
01-01-1976,597.0722889999992,87.52874599999966,3.685689999999996
01-01-1977,741.0808029999992,95.96438299999964,2.0347189999999986
01-01-1978,933.7518269999995,101.21100199999971,2.328805
01-01-1979,1201.227511999999,129.36159399999966,2.374114999999998
01-01-1980,1247.72011,118.09372099999955,2.5280089999999973
01-01-1981,1718.568727,128.17649399999968,2.3048619999999973
01-01-1982,2095.047407999999,134.02865599999976,1.774983999999995
01-01-1983,2787.9244,129.21399099999974,1.7806789999999963
01-01-1984,2473.511529000002,97.19454499999969,1.585453999999997
01-01-1985,2405.400234000001,104.8944899999997,2.290773999999997
01-01-1986,2398.940645999999,91.72615099999997,2.0785239999999967
01-01-1987,2391.5683280000017,91.89055099999989,1.5315519999999998
01-01-1988,2429.065401999999,83.13024999999973,1.480056999999998
01-01-1989,2406.3174409999983,108.84613799999997,3.217129999999994
01-01-1990,2396.3671219999956,89.7620969999999,6.216156999999993
01-01-1991,2529.490268999998,82.27302800000005,6.927415000000006
01-01-1992,2537.757262000002,71.08733699999995,4.686751999999999
01-01-1993,2503.4517940000046,98.84741200000012,2.1806709999999985
01-01-1994,2635.767354999995,92.94782099999999,2.798614999999997
01-01-1995,2602.2678240000037,114.77260800000028,2.855115000000001
01-01-1996,2724.4971269999996,134.93554900000015,2.9219250000000003
01-01-1997,2866.7651370000003,146.66441799999978,3.027848000000001
01-01-1998,3019.822893000004,154.1597690000003,2.8249649999999997
01-01-1999,3140.463779000006,182.99890699999978,5.396630999999996
01-01-2000,3029.058368000004,183.4286599999997,4.415755
01-01-2001,3085.060968000002,197.26576299999974,5.115886
01-01-2002,3250.4570809999977,193.62652200000002,7.131275999999995
01-01-2003,3327.2625739999985,191.49669799999967,8.462578
01-01-2004,3415.261801000002,231.5362689999999,9.629960999999993
01-01-2005,3345.432390000001,226.14787899999953,12.109002999999996
01-01-2006,3367.268556000001,246.79110899999992,11.752833999999972
01-01-2007,3138.4078500000064,280.93540800000005,7.989366999999991
01-01-2008,2921.8505190000014,347.92864700000115,11.670118999999998
01-01-2009,2680.2639110000096,353.3079589999993,9.834780999999996
01-01-2010,2611.620821000006,384.3433600000003,17.983104000000026
01-01-2011,2578.552252000011,415.17418,14.71378099999999
01-01-2012,2518.0665229999972,511.73641000000003,13.926660000000014
01-01-2013,2559.4880230000035,613.1061909999999,12.342920999999993
01-01-2014,2503.8168589999946,595.6165569999997,8.979472999999999
01-01-2015,2250.357308999997,584.337024000001,20.31686799999995
01-01-2016,2251.2546580545854,550.6088496327292,8.635082688537173
01-01-2017,2014.262715501608,499.1168458109201,5.187223147034653
01-01-2018,1905.291981012277,460.9489767004505,23.07801403804551
01-01-2019,1619.908762978736,480.6996103062979,21.029826837963615
01-01-2020,1724.2331086689003,437.96798205156614,36.43384624299479